Tytuł,Autorski,Series,Kategorie,Data publikacji,Wydawca,Stron,ISBN,Przeczytane,Przeczytane fragmenty,Komentarze,Streszczenie,Ścieżka okładki
"""Nie było czasu na strach..."" /",Janina Wasiłojć-Smoleńska,,II wojna światowa,2009,Oddział w Szczecinie (Instytut Pamięci Narodowej) Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu. Oddział,,9788361336648,Nie,,,,
1444 Krucjata Polskiego Króla,Artur Foryt,,Historia,,Wydawnictwo Astra,480,9788365280770,Nie,,,,/MyLibrary/Images/Books/491.png
17 podniebnych koszmarow,Stephen King,,Thriller,01/01/2019,Proszynski Media,384,9788381690201,Nie,,,,/MyLibrary/Images/Books/747.png
"1809 grom nad Dunajem : zwycięstwo Napoleona nad Habsburgami. T. 1, Abensberg","John H Gill, Cezary Napoleon V Dariusz Marszałek Domalski",,Historia,2017,Napoleon V Dariusz Marszałek Wydawnictwo Napoleon V,,9788365855404,Nie,,,,
1809 Grom nad Dunajem Zwyciestwa Napoleona nad Habsburgami. Tom 2. Aspern,John H. Gill,,Historia,,Napoleon V,441,9788365855411,Nie,,,,/MyLibrary/Images/Books/1215.png
1809 Grom nad Dunajem. Zwyciestwo Napoleona nad Habsurgami. Tom 3. Wagram i Znojmo,John Gill,,Historia,,Napoleon V,527,9788365855428,Nie,,,,/MyLibrary/Images/Books/1214.png
1812 Napoleon w Moskwie,Paul Britten Austin,,Historia,,,,9788365201041,Nie,,,,
1815. Upadek Napoleona i Kongres Wiedeński,Adam Zamoyski,,Historia świata,2007,,,9788324014804,Nie,,,,/MyLibrary/Images/Books/770.png
1919,Andrzej Chwalba,,Historia Polski,2019,Czarne,376,9788380497931,Nie,,,,/MyLibrary/Images/Books/106.png
2061 Odyseja kosmiczna,Arthur Clarke,,Fantastyka,,,,,Nie,,,,
21 lekcji na XXI wiek,Yuval Noah Harari,,Popularnonaukowe,,Wydawnictwo Literackie,456,9788308074619,Nie,,,,/MyLibrary/Images/Books/1010.png
"3001: Odyseja kosmiczna. Finał (Space Odyssey, #4)",Arthur C. Clarke,,Fantastyka,25/02/1997,,,9788361516026,Nie,,,,/MyLibrary/Images/Books/504.png
451 stopni Fahrenheita (Polish Edition),Ray Bradbury,,Fantastyka,01/01/2018,Mag,176,9788374809221,Nie,,,,/MyLibrary/Images/Books/597.png
Abominacja,Dan Simmons,,Fantastyka,,Vesper,644,9788377313466,Nie,,,,/MyLibrary/Images/Books/358.png
Afgańcy. Ostatnia wojna imperium,Rodric Braithwaite,,Historia Rosji,2011,,,9788324018901,Nie,,,,/MyLibrary/Images/Books/440.png
AK 75. Brawurowe akcje Armii Krajowej,Wojciech Königsberg,,Historia Polski,,,,9788324042326,Nie,,,,/MyLibrary/Images/Books/285.png
"Akcja ""Wisła""",Marek A. Koprowski,,II wojna światowa,2019,Replika,558,9788366217447,Nie,,,,/MyLibrary/Images/Books/493.png
Akta Dresdena. Tom 9. Biala noc,Jim Butcher,,Fantastyka,,MAG,624,9788374806558,Nie,,,,/MyLibrary/Images/Books/502.png
Akta Litwinienki,Martin Sixsmith,,Inne,2007,,,9788375101010,Nie,,,,/MyLibrary/Images/Books/911.png
Akwaforta,K.J. Bishop,,Fantastyka,2003,,,9788374800860,Nie,,,,
Alchemik,C.J. Sansom,,Powieść historyczna,,,,5907595160117,Nie,,,,
Ale Capone,Jonathan Eig,,Biografia,,,,9788327158109,Nie,,,,
Aleja potepienia,Roger Zelazny,,Fantastyka,2019,Rebis,208,9788380622241,Nie,,,,/MyLibrary/Images/Books/656.png
Aleksander I,Andrzej Andrusiewicz,,Biografia,,Wydawnictwo Literackie,628,9788308060063,Nie,,,,/MyLibrary/Images/Books/22.png
Alianci Część 5: Opowieści niepoprawne politycznie,Piotr Zychowicz,,II wojna światowa,,Rebis,528,9788381882361,Nie,,,,/MyLibrary/Images/Books/630.png
"Alianci. Stalin, Roosevelt, Churchill. Tajne rozgrywki zwycięzców II wojny światowej",Jonathan Fenby,,II wojna światowa,01/01/2006,,,9788324008957,Nie,,,,/MyLibrary/Images/Books/10.png
Alkoholowe dzieje Polski,Jerzy Besala,,Historia Polski,2020,Zysk i S-ka,640,9788382020519,Nie,,,,/MyLibrary/Images/Books/997.png
Alkoholowe dzieje Polski. Tom 2. Czasy rozbiorow i powstan,Jerzy Besala,,Historia Polski,,Zysk i S-ka,800,9788381161596,Nie,,,,/MyLibrary/Images/Books/1211.png
Amityville Horror,Jay Anson,,Horror,,Vesper,268,9788377313350,Nie,,,,/MyLibrary/Images/Books/646.png
Amur. Między Rosją a Chinami,Colin Thubron,,Reportaż,09/2021,,,9788381915038,Nie,,,,/MyLibrary/Images/Books/1230.png
Anarchia. Niepowstrzymany rozkwit Brytyjskiej Kompanii Wschodnioindyjskiej,William Dalrymple,,Historia świata,,Noir sur Blanc,680,9788373927391,Nie,,,,/MyLibrary/Images/Books/1178.png
Anglik który ocalił japońskie wisnie,Naoko Abe,,Biografia,03/08/2022,Energizer,,01753776,Nie,,,,/MyLibrary/Images/Books/1227.png
Anioly I Demony (angels and Demons),Dan Brown,,Thriller,,Imprint unknown,,9788373592377,Nie,,,,/MyLibrary/Images/Books/1065.png
Antykiler,Danił Korecki,,Kryminał,,,,9788372293718,Nie,,,,/MyLibrary/Images/Books/406.png
Antykiler 2,Danił Korecki,,Kryminał,,,,9788372294173,Nie,,,,/MyLibrary/Images/Books/386.png
Apelacja,John Grisham,,Kryminał,,Amber,312,9788324131013,Nie,,,,/MyLibrary/Images/Books/249.png
"Apex (Nexus, #3)",Ramez Naam,,Fantastyka,05/05/2015,,,9788365661098,Nie,,,,/MyLibrary/Images/Books/801.png
Archipelag GULag. Tomy 1-3,Aleksander Solzenicyn,,Historia Rosji,,Rebis,1728,9788381880206,Nie,,,,/MyLibrary/Images/Books/115.png
Architekt wielkiej Polski Roman Dmowski 1864-1939,"Wojciech Jerzy Muszyński, Jolanta Mysiakowska-Muszyńska",,Biografia,,IPN,400,9788380985001,Nie,,,,/MyLibrary/Images/Books/80.png
